,Image_Label,Image_Class,Image_Path
1337,2,In,./My_Datasets/Classification/NEU-CLS/In_269.bmp
624,2,In,./My_Datasets/Classification/NEU-CLS/In_121.bmp
1275,2,In,./My_Datasets/Classification/NEU-CLS/In_219.bmp
801,2,In,./My_Datasets/Classification/NEU-CLS/In_96.bmp
68,2,In,./My_Datasets/Classification/NEU-CLS/In_150.bmp
1495,2,In,./My_Datasets/Classification/NEU-CLS/In_174.bmp
441,2,In,./My_Datasets/Classification/NEU-CLS/In_237.bmp
1502,2,In,./My_Datasets/Classification/NEU-CLS/In_69.bmp
805,2,In,./My_Datasets/Classification/NEU-CLS/In_236.bmp
1750,2,In,./My_Datasets/Classification/NEU-CLS/In_52.bmp
1387,2,In,./My_Datasets/Classification/NEU-CLS/In_51.bmp
1162,2,In,./My_Datasets/Classification/NEU-CLS/In_277.bmp
296,2,In,./My_Datasets/Classification/NEU-CLS/In_71.bmp
998,2,In,./My_Datasets/Classification/NEU-CLS/In_101.bmp
341,2,In,./My_Datasets/Classification/NEU-CLS/In_1.bmp
495,2,In,./My_Datasets/Classification/NEU-CLS/In_278.bmp
1689,2,In,./My_Datasets/Classification/NEU-CLS/In_292.bmp
473,2,In,./My_Datasets/Classification/NEU-CLS/In_162.bmp
142,2,In,./My_Datasets/Classification/NEU-CLS/In_227.bmp
1385,2,In,./My_Datasets/Classification/NEU-CLS/In_26.bmp
1329,2,In,./My_Datasets/Classification/NEU-CLS/In_296.bmp
1611,2,In,./My_Datasets/Classification/NEU-CLS/In_43.bmp
1643,2,In,./My_Datasets/Classification/NEU-CLS/In_250.bmp
1608,2,In,./My_Datasets/Classification/NEU-CLS/In_77.bmp
731,2,In,./My_Datasets/Classification/NEU-CLS/In_35.bmp
1631,2,In,./My_Datasets/Classification/NEU-CLS/In_223.bmp
1441,2,In,./My_Datasets/Classification/NEU-CLS/In_228.bmp
43,2,In,./My_Datasets/Classification/NEU-CLS/In_290.bmp
752,2,In,./My_Datasets/Classification/NEU-CLS/In_86.bmp
1590,2,In,./My_Datasets/Classification/NEU-CLS/In_93.bmp
1609,2,In,./My_Datasets/Classification/NEU-CLS/In_204.bmp
1561,2,In,./My_Datasets/Classification/NEU-CLS/In_168.bmp
890,2,In,./My_Datasets/Classification/NEU-CLS/In_62.bmp
311,2,In,./My_Datasets/Classification/NEU-CLS/In_112.bmp
1677,2,In,./My_Datasets/Classification/NEU-CLS/In_253.bmp
978,2,In,./My_Datasets/Classification/NEU-CLS/In_281.bmp
1675,2,In,./My_Datasets/Classification/NEU-CLS/In_115.bmp
1707,2,In,./My_Datasets/Classification/NEU-CLS/In_240.bmp
263,2,In,./My_Datasets/Classification/NEU-CLS/In_190.bmp
885,2,In,./My_Datasets/Classification/NEU-CLS/In_268.bmp
373,2,In,./My_Datasets/Classification/NEU-CLS/In_176.bmp
587,2,In,./My_Datasets/Classification/NEU-CLS/In_144.bmp
1446,2,In,./My_Datasets/Classification/NEU-CLS/In_76.bmp
